i,x,y,z,posErr,ok
0,10.0000,20.2250,-8.5750,6.278804,0
1,9.9903,20.7834,-8.5750,6.222209,0
2,9.9610,21.3411,-8.5750,6.166627,0
3,9.9124,21.8975,-8.5750,6.112136,0
4,9.8443,22.4518,-8.5750,6.058814,0
5,9.7569,23.0034,-8.5750,6.006736,0
6,9.6504,23.5516,-8.5750,5.955978,0
7,9.5247,24.0958,-8.5750,5.906613,0
8,9.3802,24.6352,-8.5750,5.858714,0
9,9.2169,25.1693,-8.5750,5.812353,0
10,9.0351,25.6973,-8.5750,5.767598,0
11,8.8349,26.2187,-8.5750,5.724517,0
12,8.6167,26.7328,-8.5750,5.683177,0
13,8.3807,27.2389,-8.5750,5.643639,0
14,8.1272,27.7365,-8.5750,5.605966,0
15,7.8564,28.2250,-8.5750,5.570215,0
16,7.5688,28.7037,-8.5750,5.536444,0
17,7.2646,29.1721,-8.5750,5.504705,0
18,6.9443,29.6296,-8.5750,5.475050,0
19,6.6082,30.0756,-8.5750,5.447524,0
20,6.2567,30.5096,-8.5750,5.422174,0
21,5.8903,30.9311,-8.5750,5.399039,0
22,5.5094,31.3395,-8.5750,5.378157,0
23,5.1145,31.7344,-8.5750,5.359562,0
24,4.7061,32.1153,-8.5750,5.343285,0
25,4.2846,32.4817,-8.5750,5.329353,0
26,3.8506,32.8332,-8.5750,5.317788,0
27,3.4046,33.1693,-8.5750,5.308609,0
28,2.9471,33.4896,-8.5750,5.301832,0
29,2.4787,33.7938,-8.5750,5.297469,0
30,2.0000,34.0814,-8.5750,5.295525,0
31,1.5115,34.3522,-8.5750,5.296005,0
32,1.0139,34.6057,-8.5750,5.298908,0
33,0.5078,34.8417,-8.5750,5.304228,0
34,-0.0063,35.0599,-8.5750,5.311958,0
35,-0.5277,35.2601,-8.5750,5.322084,0
36,-1.0557,35.4419,-8.5750,5.334589,0
37,-1.5898,35.6052,-8.5750,5.349453,0
38,-2.1292,35.7497,-8.5750,5.366651,0
39,-2.6734,35.8754,-8.5750,5.386155,0
40,-3.2216,35.9819,-8.5750,5.407934,0
41,-3.7732,36.0693,-8.5750,5.431951,0
42,-4.3275,36.1374,-8.5750,5.458168,0
43,-4.8839,36.1860,-8.5750,5.486543,0
44,-5.4416,36.2153,-8.5750,5.517029,0
45,-6.0000,36.2250,-8.5750,5.549579,0
46,-6.5584,36.2153,-8.5750,5.584141,0
47,-7.1161,36.1860,-8.5750,5.620659,0
48,-7.6725,36.1374,-8.5750,5.659078,0
49,-8.2268,36.0693,-8.5750,5.699338,0
50,-8.7784,35.9819,-8.5750,5.741375,0
51,-9.3266,35.8754,-8.5750,5.785127,0
52,-9.8708,35.7497,-8.5750,5.830526,0
