ix,iy,iz,x,y,z,posErr,targetDist,ok
0,0,0,-11.078594,-4.078594,-19.078594,14.895594,14.521983,0
1,0,0,-9.262875,-4.078594,-19.078594,14.313025,13.939414,0
2,0,0,-7.447157,-4.078594,-19.078594,13.848561,13.474950,0
3,0,0,-5.631438,-4.078594,-19.078594,13.508849,13.135238,0
4,0,0,-3.815719,-4.078594,-19.078594,13.299069,12.925457,0
5,0,0,-2.000000,-4.078594,-19.078594,13.222560,12.848949,0
6,0,0,-0.184281,-4.078594,-19.078594,13.280572,12.906961,0
7,0,0,1.631438,-4.078594,-19.078594,13.472156,13.098545,0
8,0,0,3.447157,-4.078594,-19.078594,13.794248,13.420637,0
9,0,0,5.262875,-4.078594,-19.078594,14.241901,13.868290,0
10,0,0,7.078594,-4.078594,-19.078594,14.808646,14.435035,0
0,1,0,-11.078594,-2.262875,-19.078594,13.874230,13.500619,0
1,1,0,-9.262875,-2.262875,-19.078594,13.267405,12.893794,0
2,1,0,-7.447157,-2.262875,-19.078594,12.782743,12.409132,0
3,1,0,-5.631438,-2.262875,-19.078594,12.427745,12.054134,0
4,1,0,-3.815719,-2.262875,-19.078594,12.208299,11.834688,0
5,1,0,-2.000000,-2.262875,-19.078594,12.128222,11.754611,0
6,1,0,-0.184281,-2.262875,-19.078594,12.188942,11.815330,0
7,1,0,1.631438,-2.262875,-19.078594,12.389374,12.015763,0
8,1,0,3.447157,-2.262875,-19.078594,12.726015,12.352404,0
9,1,0,5.262875,-2.262875,-19.078594,13.193239,12.819628,0
10,1,0,7.078594,-2.262875,-19.078594,13.783735,13.410124,0
0,2,0,-11.078594,-0.447157,-19.078594,12.946181,12.572570,0
1,2,0,-9.262875,-0.447157,-19.078594,12.315472,11.941861,0
2,2,0,-7.447157,-0.447157,-19.078594,11.810813,11.437202,0
3,2,0,-5.631438,-0.447157,-19.078594,11.440616,11.067004,0
4,2,0,-3.815719,-0.447157,-19.078594,11.211528,10.837917,0
5,2,0,-2.000000,-0.447157,-19.078594,11.127884,10.754273,0
6,2,0,-0.184281,-0.447157,-19.078594,11.191311,10.817700,0
7,2,0,1.631438,-0.447157,-19.078594,11.400572,11.026961,0
8,2,0,3.447157,-0.447157,-19.078594,11.751689,11.378078,0
9,2,0,5.262875,-0.447157,-19.078594,12.238300,11.864689,0
10,2,0,7.078594,-0.447157,-19.078594,12.852202,12.478591,0
0,3,0,-11.078594,1.368562,-19.078594,12.122565,11.748954,0
1,3,0,-9.262875,1.368562,-19.078594,11.469005,11.095393,0
2,3,0,-7.447157,1.368562,-19.078594,10.945109,10.571497,0
3,3,0,-5.631438,1.368562,-19.078594,10.560223,10.186611,0
4,3,0,-3.815719,1.368562,-19.078594,10.321788,9.948177,0
5,3,0,-2.000000,1.368562,-19.078594,10.234681,9.861070,0
6,3,0,-0.184281,1.368562,-19.078594,10.300737,9.927125,0
7,3,0,1.631438,1.368562,-19.078594,10.518560,10.144949,0
8,3,0,3.447157,1.368562,-19.078594,10.883672,10.510061,0
9,3,0,5.262875,1.368562,-19.078594,11.388948,11.015336,0
10,3,0,7.078594,1.368562,-19.078594,12.025261,11.651650,0
0,4,0,-11.078594,3.184281,-19.078594,11.414769,11.041158,0
1,4,0,-9.262875,3.184281,-19.078594,10.740184,10.366573,0
2,4,0,-7.447157,3.184281,-19.078594,10.198495,9.824884,0
3,4,0,-5.631438,3.184281,-19.078594,9.799963,9.426352,0
4,4,0,-3.815719,3.184281,-19.078594,9.552817,9.179206,0
5,4,0,-2.000000,3.184281,-19.078594,9.462476,9.088865,0
6,4,0,-0.184281,3.184281,-19.078594,9.530986,9.157375,0
7,4,0,1.631438,3.184281,-19.078594,9.756793,9.383181,0
8,4,0,3.447157,3.184281,-19.078594,10.134914,9.761302,0
