ix,iy,iz,x,y,z,posErr,targetDist,ok
0,0,0,-18.048002,9.176998,-12.623002,11.136389,11.119138,0
1,0,0,-17.217105,9.176998,-12.623002,10.659019,10.642557,0
2,0,0,-16.386209,9.176998,-12.623002,10.203381,10.187740,0
3,0,0,-15.555312,9.176998,-12.623002,9.770899,9.756109,0
4,0,0,-14.724415,9.176998,-12.623002,9.363041,9.349125,0
5,0,0,-13.893519,9.176998,-12.623002,8.981308,8.968283,0
6,0,0,-13.062622,9.176998,-12.623002,8.627219,8.615090,0
7,0,0,-12.231725,9.176998,-12.623002,8.302288,8.291048,0
8,0,0,-11.400829,9.176998,-12.623002,8.008002,7.997631,0
9,0,0,-10.569932,9.176998,-12.623002,7.745799,7.736256,0
10,0,0,-9.739035,9.176998,-12.623002,7.517034,7.508262,0
11,0,0,-8.908138,9.176998,-12.623002,7.322953,7.314873,0
12,0,0,-8.077242,9.176998,-12.623002,7.164665,7.157176,0
13,0,0,-7.246345,9.176998,-12.623002,7.043104,7.036088,0
14,0,0,-6.415448,9.176998,-12.623002,6.959015,6.952335,0
15,0,0,-5.584552,9.176998,-12.623002,6.912921,6.906428,0
16,0,0,-4.753655,9.176998,-12.623002,6.905114,6.898654,0
17,0,0,-3.922758,9.176998,-12.623002,6.935645,6.929060,0
18,0,0,-3.091862,9.176998,-12.623002,7.004320,6.997458,0
19,0,0,-2.260965,9.176998,-12.623002,7.110706,7.103425,0
20,0,0,-1.430068,9.176998,-12.623002,7.254147,7.246321,0
21,0,0,-0.599171,9.176998,-12.623002,7.433784,7.425304,0
22,0,0,0.231725,9.176998,-12.623002,7.648574,7.639353,0
23,0,0,1.062622,9.176998,-12.623002,7.897325,7.887297,0
24,0,0,1.893519,9.176998,-12.623002,8.178721,8.167839,0
25,0,0,2.724415,9.176998,-12.623002,8.491356,8.479591,0
26,0,0,3.555312,9.176998,-12.623002,8.833759,8.821098,0
27,0,0,4.386209,9.176998,-12.623002,9.204422,9.190868,0
28,0,0,5.217105,9.176998,-12.623002,9.601829,9.587392,0
29,0,0,6.048002,9.176998,-12.623002,10.024468,10.009170,0
0,1,0,-18.048002,10.007895,-12.623002,10.667613,10.651136,0
1,1,0,-17.217105,10.007895,-12.623002,10.179725,10.164129,0
2,1,0,-16.386209,10.007895,-12.623002,9.713592,9.698921,0
3,1,0,-15.555312,10.007895,-12.623002,9.270709,9.257002,0
4,1,0,-14.724415,10.007895,-12.623002,8.852624,8.839916,0
5,1,0,-13.893519,10.007895,-12.623002,8.460928,8.449246,0
6,1,0,-13.062622,10.007895,-12.623002,8.097239,8.086597,0
7,1,0,-12.231725,10.007895,-12.623002,7.763175,7.753576,0
8,1,0,-11.400829,10.007895,-12.623002,7.460339,7.451765,0
9,1,0,-10.569932,10.007895,-12.623002,7.190282,7.182696,0
10,1,0,-9.739035,10.007895,-12.623002,6.954476,6.947814,0
11,1,0,-8.908138,10.007895,-12.623002,6.754278,6.748452,0
12,1,0,-8.077242,10.007895,-12.623002,6.590899,6.585792,0
13,1,0,-7.246345,10.007895,-12.623002,6.465366,6.460837,0
14,1,0,-6.415448,10.007895,-12.623002,6.378495,6.374380,0
15,1,0,-5.584552,10.007895,-12.623002,6.330866,6.326981,0
16,1,0,-4.753655,10.007895,-12.623002,6.322798,6.318953,0
17,1,0,-3.922758,10.007895,-12.623002,6.354349,6.350350,0
18,1,0,-3.091862,10.007895,-12.623002,6.425302,6.420963,0
19,1,0,-2.260965,10.007895,-12.623002,6.535184,6.530331,0
20,1,0,-1.430068,10.007895,-12.623002,6.683271,6.677753,0
21,1,0,-0.599171,10.007895,-12.623002,6.868618,6.862309,0
22,1,0,0.231725,10.007895,-12.623002,7.090087,7.082886,0
23,1,0,1.062622,10.007895,-12.623002,7.346374,7.338208,0
24,1,0,1.893519,10.007895,-12.623002,7.636052,7.626873,0
25,1,0,2.724415,10.007895,-12.623002,7.957595,7.947379,0
26,1,0,3.555312,10.007895,-12.623002,8.309421,8.298162,0
27,1,0,4.386209,10.007895,-12.623002,8.689913,8.677620,0
28,1,0,5.217105,10.007895,-12.623002,9.097451,9.084146,0
29,1,0,6.048002,10.007895,-12.623002,9.530430,9.516146,0
0,2,0,-18.048002,10.838791,-12.623002,10.220933,10.205260,0
1,2,0,-17.217105,10.838791,-12.623002,9.722577,9.707887,0
2,2,0,-16.386209,10.838791,-12.623002,9.245968,9.232318,0
3,2,0,-15.555312,10.838791,-12.623002,8.792671,8.780114,0
4,2,0,-14.724415,10.838791,-12.623002,8.364316,8.352901,0
5,2,0,-13.893519,10.838791,-12.623002,7.962584,7.952352,0
6,2,0,-13.062622,10.838791,-12.623002,7.589194,7.580174,0
7,2,0,-12.231725,10.838791,-12.623002,7.245877,7.238081,0
8,2,0,-11.400829,10.838791,-12.623002,6.934351,6.927772,0
9,2,0,-10.569932,10.838791,-12.623002,6.656292,6.650893,0
10,2,0,-9.739035,10.838791,-12.623002,6.413293,6.409010,0
11,2,0,-8.908138,10.838791,-12.623002,6.206833,6.203567,0
12,2,0,-8.077242,10.838791,-12.623002,6.038233,6.035849,0
13,2,0,-7.246345,10.838791,-12.623002,5.908619,5.906947,0
14,2,0,-6.415448,10.838791,-12.623002,5.818889,5.817728,0
15,2,0,-5.584552,10.838791,-12.623002,5.769678,5.768804,0
16,2,0,-4.753655,10.838791,-12.623002,5.761342,5.760518,0
17,2,0,-3.922758,10.838791,-12.623002,5.793941,5.792926,0
18,2,0,-3.091862,10.838791,-12.623002,5.867240,5.865802,0
19,2,0,-2.260965,10.838791,-12.623002,5.980714,5.978642,0
20,2,0,-1.430068,10.838791,-12.623002,6.133569,6.130680,0
21,2,0,-0.599171,10.838791,-12.623002,6.324768,6.320913,0
22,2,0,0.231725,10.838791,-12.623002,6.553064,6.548130,0
23,2,0,1.062622,10.838791,-12.623002,6.817039,6.810946,0
24,2,0,1.893519,10.838791,-12.623002,7.115141,7.107843,0
25,2,0,2.724415,10.838791,-12.623002,7.445724,7.437202,0
26,2,0,3.555312,10.838791,-12.623002,7.807082,7.797341,0
27,2,0,4.386209,10.838791,-12.623002,8.197486,8.186549,0
28,2,0,5.217105,10.838791,-12.623002,8.615210,8.603113,0
29,2,0,6.048002,10.838791,-12.623002,9.058555,9.045343,0
0,3,0,-18.048002,11.669688,-12.623002,9.797767,9.782922,0
1,3,0,-17.217105,11.669688,-12.623002,9.289064,9.275316,0
2,3,0,-16.386209,11.669688,-12.623002,8.802072,8.789491,0
3,3,0,-15.555312,11.669688,-12.623002,8.338421,8.327079,0
4,3,0,-14.724415,11.669688,-12.623002,7.899822,7.889786,0
5,3,0,-13.893519,11.669688,-12.623002,7.488049,7.479378,0
6,3,0,-13.062622,11.669688,-12.623002,7.104923,7.097664,0
7,3,0,-12.231725,11.669688,-12.623002,6.752290,6.746473,0
8,3,0,-11.400829,11.669688,-12.623002,6.431991,6.427620,0
