ix,iy,iz,x,y,z,posErr,ok
0,0,0,-17.059930,11.165070,-10.634930,8.298985,0
1,0,0,-16.297176,11.165070,-10.634930,7.833984,0
2,0,0,-15.534422,11.165070,-10.634930,7.388777,0
3,0,0,-14.771668,11.165070,-10.634930,6.964828,0
4,0,0,-14.008915,11.165070,-10.634930,6.563667,0
5,0,0,-13.246161,11.165070,-10.634930,6.186884,0
6,0,0,-12.483407,11.165070,-10.634930,5.836106,0
7,0,0,-11.720653,11.165070,-10.634930,5.512981,0
8,0,0,-10.957900,11.165070,-10.634930,5.219153,0
9,0,0,-10.195146,11.165070,-10.634930,4.956231,0
10,0,0,-9.432392,11.165070,-10.634930,4.725757,0
11,0,0,-8.669638,11.165070,-10.634930,4.529167,0
12,0,0,-7.906884,11.165070,-10.634930,4.367754,0
13,0,0,-7.144131,11.165070,-10.634930,4.242629,0
14,0,0,-6.381377,11.165070,-10.634930,4.154686,0
15,0,0,-5.618623,11.165070,-10.634930,4.104570,0
16,0,0,-4.855869,11.165070,-10.634930,4.092656,0
17,0,0,-4.093116,11.165070,-10.634930,4.119034,0
18,0,0,-3.330362,11.165070,-10.634930,4.183504,0
19,0,0,-2.567608,11.165070,-10.634930,4.285589,0
20,0,0,-1.804854,11.165070,-10.634930,4.424545,0
21,0,0,-1.042100,11.165070,-10.634930,4.599394,0
22,0,0,-0.279347,11.165070,-10.634930,4.808950,0
23,0,0,0.483407,11.165070,-10.634930,5.051862,0
24,0,0,1.246161,11.165070,-10.634930,5.326649,0
25,0,0,2.008915,11.165070,-10.634930,5.631741,0
26,0,0,2.771668,11.165070,-10.634930,5.965511,0
27,0,0,3.534422,11.165070,-10.634930,6.326311,0
28,0,0,4.297176,11.165070,-10.634930,6.712496,0
29,0,0,5.059930,11.165070,-10.634930,7.122453,0
0,1,0,-17.059930,11.927824,-10.634930,7.883295,0
1,1,0,-16.297176,11.927824,-10.634930,7.407847,0
2,1,0,-15.534422,11.927824,-10.634930,6.952128,0
3,1,0,-14.771668,11.927824,-10.634930,6.517668,0
4,1,0,-14.008915,11.927824,-10.634930,6.106080,0
5,1,0,-13.246161,11.927824,-10.634930,5.719043,0
6,1,0,-12.483407,11.927824,-10.634930,5.358290,0
7,1,0,-11.720653,11.927824,-10.634930,5.025588,0
8,1,0,-10.957900,11.927824,-10.634930,4.722705,0
