ix,iy,iz,x,y,z,posErr,targetDist,ok
0,0,0,-25.886567,1.113433,-20.886567,25.086425,25.079334,0
1,0,0,-24.560796,1.113433,-20.886567,24.337532,24.331295,0
2,0,0,-23.235024,1.113433,-20.886567,23.623134,23.617762,0
3,0,0,-21.909253,1.113433,-20.886567,22.945402,22.940901,0
4,0,0,-20.583482,1.113433,-20.886567,22.306570,22.302938,0
5,0,0,-19.257711,1.113433,-20.886567,21.708910,21.706137,0
6,0,0,-17.931940,1.113433,-20.886567,21.154712,21.152778,0
7,0,0,-16.606169,1.113433,-20.886567,20.646252,20.645129,0
8,0,0,-15.280398,1.113433,-20.886567,20.185762,20.185408,0
9,0,0,-13.954627,1.113433,-20.886567,19.775388,19.775749,0
10,0,0,-12.628856,1.113433,-20.886567,19.417153,19.418164,0
11,0,0,-11.303084,1.113433,-20.886567,19.112913,19.114494,0
12,0,0,-9.977313,1.113433,-20.886567,18.864312,18.866372,0
13,0,0,-8.651542,1.113433,-20.886567,18.672745,18.675184,0
14,0,0,-7.325771,1.113433,-20.886567,18.539318,18.542025,0
15,0,0,-6.000000,1.113433,-20.886567,18.464818,18.467677,0
16,0,0,-4.674229,1.113433,-20.886567,18.449692,18.452582,0
17,0,0,-3.348458,1.113433,-20.886567,18.494031,18.496830,0
18,0,0,-2.022687,1.113433,-20.886567,18.597567,18.600157,0
19,0,0,-0.696916,1.113433,-20.886567,18.759685,18.761952,0
20,0,0,0.628856,1.113433,-20.886567,18.979438,18.981275,0
21,0,0,1.954627,1.113433,-20.886567,19.255574,19.256885,0
22,0,0,3.280398,1.113433,-20.886567,19.586569,19.587269,0
23,0,0,4.606169,1.113433,-20.886567,19.970671,19.970688,0
24,0,0,5.931940,1.113433,-20.886567,20.405935,20.405209,0
25,0,0,7.257711,1.113433,-20.886567,20.890274,20.888757,0
26,0,0,8.583482,1.113433,-20.886567,21.421494,21.419151,0
27,0,0,9.909253,1.113433,-20.886567,21.997338,33.142728,0
28,0,0,11.235024,1.113433,-20.886567,22.615517,33.529300,0
29,0,0,12.560796,1.113433,-20.886567,23.273748,33.812509,0
30,0,0,13.886567,1.113433,-20.886567,23.969775,33.987506,0
0,1,0,-25.886567,2.439204,-20.886567,24.337532,24.331295,0
1,1,0,-24.560796,2.439204,-20.886567,23.572463,23.567155,0
2,1,0,-23.235024,2.439204,-20.886567,22.841961,22.837597,0
3,1,0,-21.909253,2.439204,-20.886567,22.148305,22.144896,0
4,1,0,-20.583482,2.439204,-20.886567,21.493849,21.491397,0
5,1,0,-19.257711,2.439204,-20.886567,20.881000,20.879498,0
6,1,0,-17.931940,2.439204,-20.886567,20.312194,20.311625,0
7,1,0,-16.606169,2.439204,-20.886567,19.789865,19.790200,0
8,1,0,-15.280398,2.439204,-20.886567,19.316408,19.317605,0
9,1,0,-13.954627,2.439204,-20.886567,18.894138,18.896140,0
10,1,0,-12.628856,2.439204,-20.886567,18.525245,18.527981,0
11,1,0,-11.303084,2.439204,-20.886567,18.211746,18.215128,0
12,1,0,-9.977313,2.439204,-20.886567,17.955433,17.959360,0
13,1,0,-8.651542,2.439204,-20.886567,17.757831,17.762190,0
14,1,0,-7.325771,2.439204,-20.886567,17.620152,17.624817,0
15,1,0,-6.000000,2.439204,-20.886567,17.543261,17.548099,0
16,1,0,-4.674229,2.439204,-20.886567,17.527648,17.532522,0
17,1,0,-3.348458,2.439204,-20.886567,17.573413,17.578183,0
18,1,0,-2.022687,2.439204,-20.886567,17.680262,17.684793,0
19,1,0,-0.696916,2.439204,-20.886567,17.847520,17.851682,0
