ix,iy,iz,x,y,z,posErr,targetDist,ok
0,0,0,-20.078859,6.146141,-14.653859,15.243315,15.221322,0
1,0,0,-19.107904,6.146141,-14.653859,14.699622,14.678105,0
2,0,0,-18.136948,6.146141,-14.653859,14.181550,14.160520,0
3,0,0,-17.165992,6.146141,-14.653859,13.690706,13.670171,0
4,0,0,-16.195036,6.146141,-14.653859,13.228738,13.208703,0
5,0,0,-15.224080,6.146141,-14.653859,12.797322,12.777786,0
6,0,0,-14.253124,6.146141,-14.653859,12.398141,12.379099,0
7,0,0,-13.282169,6.146141,-14.653859,12.032865,12.014303,0
8,0,0,-12.311213,6.146141,-14.653859,11.703125,11.685021,0
9,0,0,-11.340257,6.146141,-14.653859,11.410481,11.392808,0
10,0,0,-10.369301,6.146141,-14.653859,11.156399,11.139117,0
11,0,0,-9.398345,6.146141,-14.653859,10.942213,10.925275,0
12,0,0,-8.427390,6.146141,-14.653859,10.769095,10.752444,0
13,0,0,-7.456434,6.146141,-14.653859,10.638026,10.621600,0
14,0,0,-6.485478,6.146141,-14.653859,10.549772,10.533500,0
15,0,0,-5.514522,6.146141,-14.653859,10.504857,10.488665,0
16,0,0,-4.543566,6.146141,-14.653859,10.503551,10.487361,0
17,0,0,-3.572610,6.146141,-14.653859,10.545862,10.529597,0
18,0,0,-2.601655,6.146141,-14.653859,10.631536,10.615121,0
19,0,0,-1.630699,6.146141,-14.653859,10.760062,10.743427,0
20,0,0,-0.659743,6.146141,-14.653859,10.930690,10.913771,0
21,0,0,0.311213,6.146141,-14.653859,11.142451,11.125191,0
22,0,0,1.282169,6.146141,-14.653859,11.394182,11.376533,0
23,0,0,2.253124,6.146141,-14.653859,11.684559,11.666482,0
24,0,0,3.224080,6.146141,-14.653859,12.012123,11.993589,0
25,0,0,4.195036,6.146141,-14.653859,12.375318,12.356305,0
26,0,0,5.165992,6.146141,-14.653859,12.772517,12.753011,0
27,0,0,6.136948,6.146141,-14.653859,13.202052,13.182047,0
28,0,0,7.107904,6.146141,-14.653859,13.662240,13.641734,0
29,0,0,8.078859,6.146141,-14.653859,14.151403,14.130402,0
0,1,0,-20.078859,7.117096,-14.653859,14.670428,14.648937,0
1,1,0,-19.107904,7.117096,-14.653859,14.114380,14.093415,0
2,1,0,-18.136948,7.117096,-14.653859,13.584023,13.563600,0
3,1,0,-17.165992,7.117096,-14.653859,13.081048,13.061180,0
4,1,0,-16.195036,7.117096,-14.653859,12.607198,12.587893,0
5,1,0,-15.224080,7.117096,-14.653859,12.164254,12.145516,0
6,1,0,-14.253124,7.117096,-14.653859,11.754014,11.735838,0
7,1,0,-13.282169,7.117096,-14.653859,11.378269,11.360644,0
8,1,0,-12.311213,7.117096,-14.653859,11.038776,11.021681,0
9,1,0,-11.340257,7.117096,-14.653859,10.737227,10.720631,0
10,1,0,-10.369301,7.117096,-14.653859,10.475214,10.459075,0
11,1,0,-9.398345,7.117096,-14.653859,10.254194,10.238458,0
12,1,0,-8.427390,7.117096,-14.653859,10.075449,10.060052,0
13,1,0,-7.456434,7.117096,-14.653859,9.940058,9.924926,0
14,1,0,-6.485478,7.117096,-14.653859,9.848862,9.833913,0
15,1,0,-5.514522,7.117096,-14.653859,9.802440,9.787585,0
16,1,0,-4.543566,7.117096,-14.653859,9.801090,9.786238,0
17,1,0,-3.572610,7.117096,-14.653859,9.844821,9.829880,0
18,1,0,-2.601655,7.117096,-14.653859,9.933352,9.918234,0
19,1,0,-1.630699,7.117096,-14.653859,10.066120,10.050741,0
20,1,0,-0.659743,7.117096,-14.653859,10.242299,10.226586,0
21,1,0,0.311213,7.117096,-14.653859,10.460825,10.444712,0
22,1,0,1.282169,7.117096,-14.653859,10.720425,10.703857,0
23,1,0,2.253124,7.117096,-14.653859,11.019652,11.002588,0
24,1,0,3.224080,7.117096,-14.653859,11.356921,11.339329,0
25,1,0,4.195036,7.117096,-14.653859,11.730546,11.712404,0
26,1,0,5.165992,7.117096,-14.653859,12.138773,12.120069,0
27,1,0,6.136948,7.117096,-14.653859,12.579811,12.560541,0
