i,x,y,z,posErr,ok
0,-3.000000,21.000000,-1.000000,0.009439,1
1,-3.001828,21.104698,-1.000000,0.009095,1
2,-3.007308,21.209269,-1.000000,0.008406,1
3,-3.016434,21.313585,-1.000000,0.007305,1
4,-3.029196,21.417519,-1.000000,0.005723,1
5,-3.045577,21.520945,-1.000000,0.003591,1
6,-3.065557,21.623735,-1.000000,0.000840,1
7,-3.089113,21.725766,-1.000000,0.002598,1
8,-3.116215,21.826912,-1.000000,0.006785,1
9,-3.146830,21.927051,-1.000000,0.011775,0
10,-3.180922,22.026060,-1.000000,0.017618,0
11,-3.218448,22.123820,-1.000000,0.024348,0
12,-3.259364,22.220210,-1.000000,0.031992,0
13,-3.303618,22.315113,-1.000000,0.040560,0
14,-3.351157,22.408415,-1.000000,0.050049,0
15,-3.401924,22.500000,-1.000000,0.060440,0
16,-3.455856,22.589758,-1.000000,0.071695,0
17,-3.512887,22.677579,-1.000000,0.083763,0
18,-3.572949,22.763356,-1.000000,0.096571,0
19,-3.635968,22.846984,-1.000000,0.110031,0
20,-3.701867,22.928363,-1.000000,0.124034,0
21,-3.770566,23.007392,-1.000000,0.138454,0
22,-3.841981,23.083975,-1.000000,0.153139,0
23,-3.916025,23.158019,-1.000000,0.167916,0
24,-3.992608,23.229434,-1.000000,0.182584,0
25,-4.071637,23.298133,-1.000000,0.196910,0
26,-4.153016,23.364032,-1.000000,0.210620,0
27,-4.236644,23.427051,-1.000000,0.223397,0
28,-4.322421,23.487113,-1.000000,0.234872,0
29,-4.410242,23.544144,-1.000000,0.244621,0
30,-4.500000,23.598076,-1.000000,0.252171,0
31,-4.591585,23.648843,-1.000000,0.257017,0
32,-4.684887,23.696382,-1.000000,0.258662,0
33,-4.779790,23.740636,-1.000000,0.256679,0
34,-4.876180,23.781552,-1.000000,0.250803,0
35,-4.973940,23.819078,-1.000000,0.241013,0
36,-5.072949,23.853170,-1.000000,0.227603,0
37,-5.173088,23.883785,-1.000000,0.211177,0
38,-5.274234,23.910887,-1.000000,0.192584,0
39,-5.376265,23.934443,-1.000000,0.172786,0
40,-5.479055,23.954423,-1.000000,0.152721,0
41,-5.582481,23.970804,-1.000000,0.133189,0
42,-5.686415,23.983566,-1.000000,0.114788,0
43,-5.790731,23.992692,-1.000000,0.097908,0
44,-5.895302,23.998172,-1.000000,0.082755,0
45,-6.000000,24.000000,-1.000000,0.069387,0
46,-6.104698,23.998172,-1.000000,0.057764,0
47,-6.209269,23.992692,-1.000000,0.047777,0
48,-6.313585,23.983566,-1.000000,0.039282,0
49,-6.417519,23.970804,-1.000000,0.032120,0
50,-6.520945,23.954423,-1.000000,0.026128,0
51,-6.623735,23.934443,-1.000000,0.021149,0
52,-6.725766,23.910887,-1.000000,0.017038,0
53,-6.826912,23.883785,-1.000000,0.013664,0
54,-6.927051,23.853170,-1.000000,0.010910,0
55,-7.026060,23.819078,-1.000000,0.008675,1
