ix,iy,iz,x,y,z,posErr,targetDist,ok
0,0,0,-19.418119,8.806881,-13.993119,12.946217,12.915542,0
1,0,0,-18.076307,8.806881,-13.993119,12.166131,12.137949,0
2,0,0,-16.734495,8.806881,-13.993119,11.439014,11.413460,0
3,0,0,-15.392683,8.806881,-13.993119,10.770150,10.747329,0
4,0,0,-14.050871,8.806881,-13.993119,10.165041,10.145001,0
5,0,0,-12.709059,8.806881,-13.993119,9.629274,9.611988,0
6,0,0,-11.367247,8.806881,-13.993119,9.168349,9.153690,0
7,0,0,-10.025436,8.806881,-13.993119,8.787474,8.775194,0
8,0,0,-8.683624,8.806881,-13.993119,8.491322,8.481038,0
9,0,0,-7.341812,8.806881,-13.993119,8.283777,8.274977,0
10,0,0,-6.000000,8.806881,-13.993119,8.167705,8.159767,0
11,0,0,-4.658188,8.806881,-13.993119,8.144761,8.136997,0
12,0,0,-3.316376,8.806881,-13.993119,8.215278,8.206984,0
13,0,0,-1.974564,8.806881,-13.993119,8.378241,8.368756,0
14,0,0,-0.632753,8.806881,-13.993119,8.631356,8.620111,0
15,0,0,0.709059,8.806881,-13.993119,8.971213,8.957760,0
16,0,0,2.050871,8.806881,-13.993119,9.393495,9.377521,0
17,0,0,3.392683,8.806881,-13.993119,9.893225,9.874545,0
18,0,0,4.734495,8.806881,-13.993119,10.465018,10.443559,0
19,0,0,6.076307,8.806881,-13.993119,11.103305,11.079081,0
20,0,0,7.418119,8.806881,-13.993119,11.802524,11.775615,0
0,1,0,-19.418119,10.148693,-13.993119,12.236703,12.208282,0
1,1,0,-18.076307,10.148693,-13.993119,11.432055,11.406529,0
2,1,0,-16.734495,10.148693,-13.993119,10.680434,10.658005,0
3,1,0,-15.392683,10.148693,-13.993119,9.987513,9.968352,0
4,1,0,-14.050871,10.148693,-13.993119,9.359258,9.343480,0
5,1,0,-12.709059,10.148693,-13.993119,8.801799,8.789425,0
6,1,0,-11.367247,10.148693,-13.993119,8.321236,8.312162,0
7,1,0,-10.025436,10.148693,-13.993119,7.923400,7.917360,0
8,1,0,-8.683624,10.148693,-13.993119,7.613571,7.610113,0
