ix,iy,x,y,z,posErr,ok
0,0,-17.8994,8.3256,-8.5750,9.571754,0
1,0,-16.7095,8.3256,-8.5750,8.850541,0
2,0,-15.5195,8.3256,-8.5750,8.175882,0
3,0,-14.3296,8.3256,-8.5750,7.552831,0
4,0,-13.1396,8.3256,-8.5750,6.986724,0
5,0,-11.9497,8.3256,-8.5750,6.483067,0
6,0,-10.7598,8.3256,-8.5750,6.047365,0
7,0,-9.5698,8.3256,-8.5750,5.684916,0
8,0,-8.3799,8.3256,-8.5750,5.400550,0
9,0,-7.1899,8.3256,-8.5750,5.198356,0
10,0,-6.0000,8.3256,-8.5750,5.081417,0
11,0,-4.8101,8.3256,-8.5750,5.051586,0
12,0,-3.6201,8.3256,-8.5750,5.109345,0
13,0,-2.4302,8.3256,-8.5750,5.253765,0
14,0,-1.2402,8.3256,-8.5750,5.482581,0
15,0,-0.0503,8.3256,-8.5750,5.792360,0
16,0,1.1396,8.3256,-8.5750,6.178747,0
17,0,2.3296,8.3256,-8.5750,6.636734,0
18,0,3.5195,8.3256,-8.5750,7.160930,0
19,0,4.7095,8.3256,-8.5750,7.745808,0
20,0,5.8994,8.3256,-8.5750,8.385904,0
0,1,-17.8994,9.5155,-8.5750,8.804240,0
1,1,-16.7095,9.5155,-8.5750,8.054135,0
2,1,-15.5195,9.5155,-8.5750,7.350362,0
3,1,-14.3296,9.5155,-8.5750,6.698420,0
4,1,-13.1396,9.5155,-8.5750,6.104206,0
5,1,-11.9497,9.5155,-8.5750,5.573896,0
6,1,-10.7598,9.5155,-8.5750,5.113767,0
7,1,-9.5698,9.5155,-8.5750,4.729943,0
8,1,-8.3799,9.5155,-8.5750,4.428087,0
9,1,-7.1899,9.5155,-8.5750,4.213049,0
10,1,-6.0000,9.5155,-8.5750,4.088522,0
11,1,-4.8101,9.5155,-8.5750,4.056736,0
12,1,-3.6201,9.5155,-8.5750,4.118274,0
13,1,-2.4302,9.5155,-8.5750,4.272013,0
14,1,-1.2402,9.5155,-8.5750,4.515230,0
15,1,-0.0503,9.5155,-8.5750,4.843828,0
16,1,1.1396,9.5155,-8.5750,5.252656,0
17,1,2.3296,9.5155,-8.5750,5.735868,0
18,1,3.5195,9.5155,-8.5750,6.287261,0
