ix,iy,iz,x,y,z,posErr,targetDist,ok
0,0,0,-29.619137,-2.394137,-25.194137,31.757472,31.703801,0
1,0,0,-27.977862,-2.394137,-25.194137,30.835963,30.782764,0
2,0,0,-26.336586,-2.394137,-25.194137,29.959415,29.906692,0
3,0,0,-24.695310,-2.394137,-25.194137,29.130767,29.078521,0
4,0,0,-23.054034,-2.394137,-25.194137,28.353038,28.301265,0
5,0,0,-21.412758,-2.394137,-25.194137,27.629297,27.577988,0
6,0,0,-19.771482,-2.394137,-25.194137,26.962625,26.911765,0
7,0,0,-18.130207,-2.394137,-25.194137,26.356069,26.305638,0
8,0,0,-16.488931,-2.394137,-25.194137,25.812595,25.762564,0
9,0,0,-14.847655,-2.394137,-25.194137,25.335025,25.285361,0
10,0,0,-13.206379,-2.394137,-25.194137,24.925981,24.876643,0
11,0,0,-11.565103,-2.394137,-25.194137,24.587822,24.538760,0
12,0,0,-9.923827,-2.394137,-25.194137,24.322576,24.273737,0
13,0,0,-8.282552,-2.394137,-25.194137,24.131892,24.083217,0
14,0,0,-6.641276,-2.394137,-25.194137,24.016984,23.968409,0
15,0,0,-5.000000,-2.394137,-25.194137,23.978598,23.930056,0
16,0,0,-3.358724,-2.394137,-25.194137,24.016984,23.968409,0
17,0,0,-1.717448,-2.394137,-25.194137,24.131892,24.083217,0
18,0,0,-0.076173,-2.394137,-25.194137,24.322576,24.273737,0
19,0,0,1.565103,-2.394137,-25.194137,24.587822,24.538760,0
20,0,0,3.206379,-2.394137,-25.194137,24.925981,24.876643,0
21,0,0,4.847655,-2.394137,-25.194137,25.335025,25.285361,0
22,0,0,6.488931,-2.394137,-25.194137,25.812595,25.762564,0
23,0,0,8.130207,-2.394137,-25.194137,26.356069,26.305638,0
24,0,0,9.771482,-2.394137,-25.194137,26.962625,26.911765,0
25,0,0,11.412758,-2.394137,-25.194137,27.629297,27.577988,0
26,0,0,13.054034,-2.394137,-25.194137,28.353038,28.301265,0
27,0,0,14.695310,-2.394137,-25.194137,29.130767,29.078521,0
28,0,0,16.336586,-2.394137,-25.194137,29.959415,29.906692,0
29,0,0,17.977862,-2.394137,-25.194137,30.835963,30.782764,0
