ix,iy,x,y,z,posErr,ok
0,0,-13.932943,12.292057,-8.575000,4.644258,0
1,0,-13.139648,12.292057,-8.575000,4.207825,0
2,0,-12.346354,12.292057,-8.575000,3.800891,0
3,0,-11.553060,12.292057,-8.575000,3.425937,0
4,0,-10.759766,12.292057,-8.575000,3.085502,0
5,0,-9.966471,12.292057,-8.575000,2.782127,0
6,0,-9.173177,12.292057,-8.575000,2.518290,0
7,0,-8.379883,12.292057,-8.575000,2.296330,0
8,0,-7.586589,12.292057,-8.575000,2.118358,0
9,0,-6.793294,12.292057,-8.575000,1.986170,0
10,0,-6.000000,12.292057,-8.575000,1.901165,0
11,0,-5.206706,12.292057,-8.575000,1.864270,0
12,0,-4.413411,12.292057,-8.575000,1.875896,0
13,0,-3.620117,12.292057,-8.575000,1.935914,0
14,0,-2.826823,12.292057,-8.575000,2.043659,0
15,0,-2.033529,12.292057,-8.575000,2.197972,0
16,0,-1.240234,12.292057,-8.575000,2.397254,0
17,0,-0.446940,12.292057,-8.575000,2.639547,0
18,0,0.346354,12.292057,-8.575000,2.922620,0
19,0,1.139648,12.292057,-8.575000,3.244057,0
20,0,1.932943,12.292057,-8.575000,3.601340,0
0,1,-13.932943,13.085352,-8.575000,4.167584,0
1,1,-13.139648,13.085352,-8.575000,3.717107,0
2,1,-12.346354,13.085352,-8.575000,3.296299,0
3,1,-11.553060,13.085352,-8.575000,2.907836,0
4,1,-10.759766,13.085352,-8.575000,2.554480,0
5,1,-9.966471,13.085352,-8.575000,2.239024,0
6,1,-9.173177,13.085352,-8.575000,1.964216,0
7,1,-8.379883,13.085352,-8.575000,1.732669,0
8,1,-7.586589,13.085352,-8.575000,1.546761,0
9,1,-6.793294,13.085352,-8.575000,1.408529,0
10,1,-6.000000,13.085352,-8.575000,1.319567,0
11,1,-5.206706,13.085352,-8.575000,1.280938,0
12,1,-4.413411,13.085352,-8.575000,1.293112,0
13,1,-3.620117,13.085352,-8.575000,1.355940,0
14,1,-2.826823,13.085352,-8.575000,1.468663,0
15,1,-2.033529,13.085352,-8.575000,1.629953,0
16,1,-1.240234,13.085352,-8.575000,1.837994,0
17,1,-0.446940,13.085352,-8.575000,2.090571,0
18,1,0.346354,13.085352,-8.575000,2.385181,0
19,1,1.139648,13.085352,-8.575000,2.719134,0
20,1,1.932943,13.085352,-8.575000,3.089649,0
0,2,-13.932943,13.878646,-8.575000,3.718087,0
1,2,-13.139648,13.878646,-8.575000,3.253501,0
2,2,-12.346354,13.878646,-8.575000,2.818674,0
3,2,-11.553060,13.878646,-8.575000,2.416481,0
4,2,-10.759766,13.878646,-8.575000,2.049918,0
5,2,-9.966471,13.878646,-8.575000,1.722045,0
6,2,-9.173177,13.878646,-8.575000,1.435900,0
7,2,-8.379883,13.878646,-8.575000,1.194399,0
8,2,-7.586589,13.878646,-8.575000,1.000218,0
9,2,-6.793294,13.878646,-8.575000,0.855669,0
10,2,-6.000000,13.878646,-8.575000,0.762570,0
11,2,-5.206706,13.878646,-8.575000,0.722130,0
12,2,-4.413411,13.878646,-8.575000,0.734875,0
