ix,iy,iz,x,y,z,posErr,targetDist,ok
0,0,0,-20.850034,4.374966,-15.425034,17.190515,17.167066,0
1,0,0,-19.825894,4.374966,-15.425034,16.629510,16.606446,0
2,0,0,-18.801754,4.374966,-15.425034,16.095524,16.072850,0
3,0,0,-17.777614,4.374966,-15.425034,15.590177,15.567898,0
4,0,0,-16.753473,4.374966,-15.425034,15.115128,15.093244,0
5,0,0,-15.729333,4.374966,-15.425034,14.672053,14.650560,0
6,0,0,-14.705193,4.374966,-15.425034,14.262627,14.241517,0
7,0,0,-13.681052,4.374966,-15.425034,13.888505,13.867766,0
8,0,0,-12.656912,4.374966,-15.425034,13.551296,13.530908,0
9,0,0,-11.632772,4.374966,-15.425034,13.252533,13.232471,0
10,0,0,-10.608631,4.374966,-15.425034,12.993648,12.973881,0
11,0,0,-9.584491,4.374966,-15.425034,12.775938,12.756428,0
12,0,0,-8.560351,4.374966,-15.425034,12.600538,12.581241,0
13,0,0,-7.536210,4.374966,-15.425034,12.468393,12.449262,0
14,0,0,-6.512070,4.374966,-15.425034,12.380235,12.361215,0
15,0,0,-5.487930,4.374966,-15.425034,12.336558,12.317595,0
16,0,0,-4.463790,4.374966,-15.425034,12.337614,12.318649,0
17,0,0,-3.439649,4.374966,-15.425034,12.383394,12.364371,0
18,0,0,-2.415509,4.374966,-15.425034,12.473640,12.454502,0
19,0,0,-1.391369,4.374966,-15.425034,12.607842,12.588536,0
20,0,0,-0.367228,4.374966,-15.425034,12.785259,12.765738,0
21,0,0,0.656912,4.374966,-15.425034,13.004937,12.985157,0
22,0,0,1.681052,4.374966,-15.425034,13.265733,13.245656,0
23,0,0,2.705193,4.374966,-15.425034,13.566341,13.545937,0
24,0,0,3.729333,4.374966,-15.425034,13.905325,13.884569,0
25,0,0,4.753473,4.374966,-15.425034,14.281148,14.260021,0
26,0,0,5.777614,4.374966,-15.425034,14.692198,14.670687,0
27,0,0,6.801754,4.374966,-15.425034,15.136818,15.114916,0
28,0,0,7.825894,4.374966,-15.425034,15.613333,15.591036,0
29,0,0,8.850034,4.374966,-15.425034,16.120067,16.097375,0
0,1,0,-20.850034,5.399106,-15.425034,16.563853,16.540835,0
1,1,0,-19.825894,5.399106,-15.425034,15.989869,15.967276,0
2,1,0,-18.801754,5.399106,-15.425034,15.443013,15.420853,0
3,1,0,-17.777614,5.399106,-15.425034,14.924995,14.903276,0
4,1,0,-16.753473,5.399106,-15.425034,14.437570,14.416294,0
5,1,0,-15.729333,5.399106,-15.425034,13.982524,13.961690,0
6,1,0,-14.705193,5.399106,-15.425034,13.561648,13.541249,0
7,1,0,-13.681052,5.399106,-15.425034,13.176722,13.156745,0
8,1,0,-12.656912,5.399106,-15.425034,12.829480,12.809907,0
9,1,0,-11.632772,5.399106,-15.425034,12.521586,12.502388,0
10,1,0,-10.608631,5.399106,-15.425034,12.254597,12.235739,0
11,1,0,-9.584491,5.399106,-15.425034,12.029928,12.011370,0
12,1,0,-8.560351,5.399106,-15.425034,11.848825,11.830515,0
13,1,0,-7.536210,5.399106,-15.425034,11.712324,11.694208,0
14,1,0,-6.512070,5.399106,-15.425034,11.621231,11.603246,0
15,1,0,-5.487930,5.399106,-15.425034,11.576092,11.558173,0
16,1,0,-4.463790,5.399106,-15.425034,11.577183,11.559262,0
17,1,0,-3.439649,5.399106,-15.425034,11.624496,11.606506,0
18,1,0,-2.415509,5.399106,-15.425034,11.717745,11.699620,0
19,1,0,-1.391369,5.399106,-15.425034,11.856368,11.838048,0
20,1,0,-0.367228,5.399106,-15.425034,12.039550,12.020979,0
21,1,0,0.656912,5.399106,-15.425034,12.266243,12.247371,0
22,1,0,1.681052,5.399106,-15.425034,12.535194,12.515979,0
23,1,0,2.705193,5.399106,-15.425034,12.844979,12.825387,0
24,1,0,3.729333,5.399106,-15.425034,13.194035,13.174039,0
25,1,0,4.753473,5.399106,-15.425034,13.580696,13.560277,0
26,1,0,5.777614,5.399106,-15.425034,14.003222,13.982368,0
27,1,0,6.801754,5.399106,-15.425034,14.459835,14.438539,0
28,1,0,7.825894,5.399106,-15.425034,14.948742,14.927002,0
29,1,0,8.850034,5.399106,-15.425034,15.468159,15.445979,0
0,2,0,-20.850034,6.423246,-15.425034,15.961457,15.938886,0
1,2,0,-19.825894,6.423246,-15.425034,15.374412,15.352309,0
2,2,0,-18.801754,6.423246,-15.425034,14.814566,14.792945,0
