ix,iy,iz,x,y,z,posErr,ok
0,0,0,-13.932943,12.292057,-16.507943,10.041649,0
1,0,0,-12.346354,12.292057,-16.507943,9.421418,0
2,0,0,-10.759766,12.292057,-16.507943,8.908110,0
3,0,0,-9.173177,12.292057,-16.507943,8.510129,0
4,0,0,-7.586589,12.292057,-16.507943,8.234601,0
5,0,0,-6.000000,12.292057,-16.507943,8.086804,0
6,0,0,-4.413411,12.292057,-16.507943,8.069694,0
7,0,0,-2.826823,12.292057,-16.507943,8.183621,0
8,0,0,-1.240234,12.292057,-16.507943,8.426289,0
9,0,0,0.346354,12.292057,-16.507943,8.792984,0
10,0,0,1.932943,12.292057,-16.507943,9.277010,0
0,1,0,-13.932943,13.878646,-16.507943,9.361383,0
1,1,0,-12.346354,13.878646,-16.507943,8.719865,0
2,1,0,-10.759766,13.878646,-16.507943,8.187887,0
3,1,0,-9.173177,13.878646,-16.507943,7.774717,0
4,1,0,-7.586589,13.878646,-16.507943,7.488285,0
5,1,0,-6.000000,13.878646,-16.507943,7.334503,0
6,1,0,-4.413411,13.878646,-16.507943,7.316694,0
7,1,0,-2.826823,13.878646,-16.507943,7.435252,0
8,1,0,-1.240234,13.878646,-16.507943,7.687593,0
9,1,0,0.346354,13.878646,-16.507943,8.068433,0
10,1,0,1.932943,13.878646,-16.507943,8.570304,0
0,2,0,-13.932943,15.465234,-16.507943,8.784759,0
1,2,0,-12.346354,15.465234,-16.507943,8.123998,0
2,2,0,-10.759766,15.465234,-16.507943,7.575044,0
3,2,0,-9.173177,15.465234,-16.507943,7.147997,0
4,2,0,-7.586589,15.465234,-16.507943,6.851563,0
5,2,0,-6.000000,15.465234,-16.507943,6.692274,0
6,2,0,-4.413411,15.465234,-16.507943,6.673822,0
7,2,0,-2.826823,15.465234,-16.507943,6.796642,0
8,2,0,-1.240234,15.465234,-16.507943,7.057865,0
9,2,0,0.346354,15.465234,-16.507943,7.451643,0
10,2,0,1.932943,15.465234,-16.507943,7.969762,0
0,3,0,-13.932943,17.051823,-16.507943,8.321015,0
1,3,0,-12.346354,17.051823,-16.507943,7.643904,0
2,3,0,-10.759766,17.051823,-16.507943,7.080453,0
3,3,0,-9.173177,17.051823,-16.507943,6.641498,0
4,3,0,-7.586589,17.051823,-16.507943,6.336450,0
5,3,0,-6.000000,17.051823,-16.507943,6.172409,0
6,3,0,-4.413411,17.051823,-16.507943,6.153400,0
7,3,0,-2.826823,17.051823,-16.507943,6.279900,0
